Ref,Val,Package,PosX,PosY,Rot,Side
"MX1","MX-LED","MXOnly-1.25U",43.656250,-87.312500,0.000000,top
"MX3","MX-LED","MXOnly-1U",41.275000,-49.212500,0.000000,top
"MX4","MX-NoLED","MXOnly-1.5U-NoLED",46.037500,-68.262500,0.000000,top
"MX6","MX-NoLED","MXOnly-2.25U-NoLED",53.181250,-106.362500,0.000000,top
"MX7","MX-NoLED","MXOnly-1.5U-NoLED",46.037500,-125.412500,0.000000,top
"MX8","MX-NoLED","MXOnly-1U-NoLED",60.325000,-49.212500,0.000000,top
"MX9","MX-NoLED","MXOnly-1U-NoLED",69.850000,-68.262500,0.000000,top
"MX10","MX-NoLED","MXOnly-1U-NoLED",74.612500,-87.312500,0.000000,top
"MX12","MX-NoLED","MXOnly-1U-NoLED",69.850000,-125.412500,0.000000,top
"MX13","MX-NoLED","MXOnly-1U-NoLED",79.375000,-49.212500,0.000000,top
"MX14","MX-NoLED","MXOnly-1U-NoLED",88.900000,-68.262500,0.000000,top
"MX15","MX-NoLED","MXOnly-1U-NoLED",93.662500,-87.312500,0.000000,top
"MX16","MX-NoLED","MXOnly-1U-NoLED",84.137500,-106.362500,0.000000,top
"MX17","MX-NoLED","MXOnly-1.5U-NoLED",93.662500,-125.412500,0.000000,top
"MX18","MX-NoLED","MXOnly-1U-NoLED",98.425000,-49.212500,0.000000,top
"MX19","MX-NoLED","MXOnly-1U-NoLED",107.950000,-68.262500,0.000000,top
"MX20","MX-NoLED","MXOnly-1U-NoLED",112.712500,-87.312500,0.000000,top
"MX21","MX-NoLED","MXOnly-1U-NoLED",103.187500,-106.362500,0.000000,top
"MX22","MX-NoLED","MXOnly-1U-NoLED",117.475000,-49.212500,0.000000,top
"MX23","MX-NoLED","MXOnly-1U-NoLED",127.000000,-68.262500,0.000000,top
"MX24","MX-NoLED","MXOnly-1U-NoLED",131.762500,-87.312500,0.000000,top
"MX25","MX-NoLED","MXOnly-1U-NoLED",122.237500,-106.362500,0.000000,top
"MX27","MX-NoLED","MXOnly-1U-NoLED",136.525000,-49.212500,0.000000,top
"MX28","MX-NoLED","MXOnly-1U-NoLED",146.050000,-68.262500,0.000000,top
"MX29","MX-NoLED","MXOnly-1U-NoLED",150.812500,-87.312500,0.000000,top
"MX30","MX-NoLED","MXOnly-1U-NoLED",141.287500,-106.362500,0.000000,top
"MX33","MX-NoLED","MXOnly-1U-NoLED",155.575000,-49.212500,0.000000,top
"MX34","MX-NoLED","MXOnly-1U-NoLED",165.100000,-68.262500,0.000000,top
"MX35","MX-NoLED","MXOnly-1U-NoLED",169.862500,-87.312500,0.000000,top
"MX36","MX-NoLED","MXOnly-1U-NoLED",160.337500,-106.362500,0.000000,top
"MX37","MX-NoLED","MXOnly-1U-NoLED",174.625000,-49.212500,0.000000,top
"MX38","MX-NoLED","MXOnly-1U-NoLED",184.150000,-68.262500,0.000000,top
"MX39","MX-NoLED","MXOnly-1U-NoLED",188.912500,-87.312500,0.000000,top
"MX40","MX-NoLED","MXOnly-1U-NoLED",179.387500,-106.362500,0.000000,top
"MX42","MX-NoLED","MXOnly-7U-ReversedStabilizers-NoLED",174.625000,-125.412500,0.000000,top
"MX43","MX-NoLED","MXOnly-1U-NoLED",193.675000,-49.212500,0.000000,top
"MX44","MX-NoLED","MXOnly-1U-NoLED",203.200000,-68.262500,0.000000,top
"MX45","MX-NoLED","MXOnly-1U-NoLED",207.962500,-87.312500,0.000000,top
"MX46","MX-NoLED","MXOnly-1U-NoLED",198.437500,-106.362500,0.000000,top
"MX47","MX-NoLED","MXOnly-1U-NoLED",212.725000,-49.212500,0.000000,top
"MX48","MX-NoLED","MXOnly-1U-NoLED",222.250000,-68.262500,0.000000,top
"MX49","MX-NoLED","MXOnly-1U-NoLED",227.012500,-87.312500,0.000000,top
"MX50","MX-NoLED","MXOnly-1U-NoLED",217.487500,-106.362500,0.000000,top
"MX53","MX-NoLED","MXOnly-1U-NoLED",231.775000,-49.212500,0.000000,top
"MX54","MX-NoLED","MXOnly-1U-NoLED",241.300000,-68.262500,0.000000,top
"MX55","MX-NoLED","MXOnly-1U-NoLED",246.062500,-87.312500,0.000000,top
"MX56","MX-NoLED","MXOnly-1U-NoLED",236.537500,-106.362500,0.000000,top
"MX58","MX-NoLED","MXOnly-1U-NoLED",250.825000,-49.212500,0.000000,top
"MX59","MX-NoLED","MXOnly-1U-NoLED",260.350000,-68.262500,0.000000,top
"MX60","MX-NoLED","MXOnly-1U-NoLED",265.112500,-87.312500,0.000000,top
"MX61","MX-NoLED","MXOnly-1U-NoLED",255.587500,-106.362500,0.000000,top
"MX62","MX-NoLED","MXOnly-1.5U-NoLED",255.587500,-125.412500,0.000000,top
"MX63","MX-NoLED","MXOnly-1U-NoLED",269.875000,-49.212500,0.000000,top
"MX64","MX-NoLED","MXOnly-1U-NoLED",279.400000,-68.262500,0.000000,top
"MX66","MX-NoLED","MXOnly-1.75U-NoLED",281.781250,-106.362500,0.000000,top
"MX67","MX-NoLED","MXOnly-1U-NoLED",279.400000,-125.412500,0.000000,top
"MX69","MX-NoLED","MXOnly-1U-NoLED",288.925000,-49.212500,0.000000,top
"MX70","MX-NoLED","MXOnly-2.25U-NoLED",296.068750,-87.312500,0.000000,top
"MX73","MX-NoLED","MXOnly-1U-NoLED",307.975000,-49.212500,0.000000,top
"MX74","MX-NoLED","MXOnly-1.5U-NoLED",303.212500,-68.262500,0.000000,top
"MX75","MX-NoLED","MXOnly-1U-NoLED",307.975000,-106.362500,0.000000,top
"MX76","MX-NoLED","MXOnly-1.5U-NoLED",303.212500,-125.412500,0.000000,top
