"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"MX7,MX4,MX62,MX17,MX74,MX76";"MXOnly-1.5U-NoLED";6;"MX-NoLED";;;
2;"MX28,MX59,MX23,MX50,MX15,MX36,MX35,MX20,MX39,MX16,MX75,MX14,MX58,MX30,MX21,MX67,MX27,MX29,MX55,MX43,MX54,MX9,MX8,MX34,MX64,MX47,MX56,MX25,MX19,MX10,MX73,MX53,MX49,MX44,MX46,MX61,MX24,MX12,MX40,MX18,MX33,MX60,MX63,MX69,MX45,MX13,MX37,MX48,MX22,MX38";"MXOnly-1U-NoLED";50;"MX-NoLED";;;
3;"MX1";"MXOnly-1.25U";1;"MX-LED";;;
4;"MX66";"MXOnly-1.75U-NoLED";1;"MX-NoLED";;;
5;"H1";"L60 Outline";1;"PCB Outline";;;
6;"MX70,MX6";"MXOnly-2.25U-NoLED";2;"MX-NoLED";;;
7;"MX3";"MXOnly-1U";1;"MX-LED";;;
8;"MX42";"MXOnly-7U-ReversedStabilizers-NoLED";1;"MX-NoLED";;;
9;"U4";"SOT143B";1;"PRTR5V0U2X";;;
10;"SW2";"SW_SPST_TL3342";1;"Reset";;;
11;"D19,D46,D15,D63,D35,D26,D54,D34,D50,D48,D22,D40,D14,D10,D61,D37,D39,D2,D6,D1,D67,D13,D21,D4,D3,D36,D12,D25,D30,D51,D28,D38,D45,D32,D55,D49,D5,D23,D20,D42,D64,D65,D16,D56,D27,D59,D58,D57,D43,D68,D66,D62,D18,D33,D8,D44,D53,D7,D31,D11,D41,D17";"D_SOD-123";62;"D_Small";;;
12;"C_3V-Decoup8,C_1V-Decoup2,C_Flash1,C_3V-Decoup6,C_3V-Decoup7,C_3V-Decoup4,C_3V-Decoup5,C_3V-Decoup3,C_1V-Decoup3,C_3V-Decoup9";"C_0402_1005Metric";10;".1u";;;
13;"D74,D71,D84,D78,D77,D72,D75,D76,D79,D70,D82,D81,D73,D83,D80,D69";"LED_WS2812_2020";16;"WS2812B-2020";;;
14;"C_LDO2,C_3V-Decoup2,C_1V-Decoup1,C_LDO1";"C_0402_1005Metric";4;"1u";;;
15;"C_Crystal2,C_Crystal1";"C_0402_1005Metric";2;"22pF";;;
16;"R_Crystal1,R_RST1,R_Flash1";"R_0402_1005Metric";3;"1k";;;
17;"R_LED1,R_LED2";"R_0402_1005Metric";2;"220";;;
18;"USB1";"HRO-TYPE-C-31-M-12-Assembly";1;"HRO-TYPE-C-31-M-12";;;
19;"U1";"RP2040-QFN-56";1;"RP2040";;;
20;"J2";"PinHeader_1x05_P2.54mm_Vertical";1;"SWD";;;
21;"R_DATA2,R_DATA1";"R_0402_1005Metric";2;"27";;;
22;"R_USB1,R_USB2";"R_0402_1005Metric";2;"5k1";;;
23;"SW1";"SW_SPST_TL3342";1;"Boot";;;
24;"J1";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";1;"SM04B";;;
25;"R_Shield1";"R_0402_1005Metric";1;"1M";;;
26;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"12MHz";;;
27;"U5";"SOT-23-5";1;"74AHCT1G125";;;
28;"U3";"SOT-23";1;"XC6206PxxxMR";;;
29;"C_Shield1";"C_0402_1005Metric";1;"4.7n";;;
30;"U2";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
31;"F1";"Fuse_0805_2012Metric";1;"500mA";;;
32;"C_3V-Decoup1";"C_0402_1005Metric";1;"10u";;;
